<01/16/13> <11:35:08> start logging
<01/16/13> <11:35:08> WindowManager aangemaakt
<01/16/13> <11:35:08> Window aangemaakt
<01/16/13> <11:35:08> Showing window 
<01/16/13> <11:35:08> Height data loaded
<01/16/13> <11:35:08> Created terrain vertices
<01/16/13> <11:35:08> Created terrain vertexbuffer
<01/16/13> <11:35:08> Successful loaded model
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:08> Model al ingeladen
<01/16/13> <11:35:08> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
